Initial ERD Fields,Updated ERD Fields,Merged ERD Fields,Field LightBox Data,Field Lightboxdata aligned,Field CoStar Data,Field CoStar aligned
tertiaryfrontagelf,,soil_type,Unit Lease Summary_projectstyle,Sites_soiltype,,
tertiaryfrontagest,,source_system,Unit Lease Summary_shalcommunityfee,,,
tertiarytrafficcount,,south_boundary,Unit Lease Summary_shalentryfee,Parcel_southboundary,,
tillableacres,,space_finish,Unit Lease Summary_shaloccupancypercentage,,,
time_log_id,,special_assessments,Unit Lease Summary_shalsecondpersonfeemonthly,Assessment_specialassessments,,
timestamp,,sprinkler_type,Unit Lease Summary_shalunitcount,,,
topography,,sprinklers_id,Unit Lease Summary_shcaretypecomments,,,
toscaprate,,square_feet,Unit Lease Summary_shilcommunityfee,,,
toseffectiveage,,state,Unit Lease Summary_shilentryfee,Parcel_state,,
tosegim,,status,Unit Lease Summary_shiloccupancypercentage,,,
tosnoi,,storage_fee,Unit Lease Summary_shilsecondpersonfeemonthly,Unit Lease Summary_storagefee,,
tosnumberoftenants,,student_teacher_ratio,Unit Lease Summary_shilunitcount,Parcel_studentteacherratio,,
tosoccupancyrate,,sub_type,Unit Lease Summary_shmccommunityfee,,,
tospriceperrsf,,submarket,Unit Lease Summary_shmcentryfee,Parcel_submarket,,
tospriceperuseableacreland,,suite,Unit Lease Summary_shmcoccupancypercentage,Rent Roll_suite,,
tospriceperuseablesfland,,suite_number,Unit Lease Summary_shmcsecondpersonfeemonthly,,,
tostenancytype,,supporting_files,Unit Lease Summary_shmcunitcount,Parcel_supportingfiles,,
tosvacancyrate,,tax_id,Unit Lease Summary_shothercommunityfee,Assessment_taxid,,
tosweightedaverageleaseterm,,tax_rate,Unit Lease Summary_shotherentryfee,Assessment_taxrate,,
totaleconomiclife,,taxing_authority,Unit Lease Summary_shotheroccupancypercentage,Assessment_taxingauthority,,
totalmarketrent,,tenant,Unit Lease Summary_shothersecondpersonfeemonthly,Rent Roll Summary_tenant,,
townshiprange,,tenant_cam,Unit Lease Summary_shotherunitcount,incExp_cam,,
trafficcount,,tenant_name,Unit Lease Summary_shpayormedicaidpercentage,Rent Roll_tenantcam,,
trafficsurveydate,,tenant_parking,Unit Lease Summary_SHPayorMedicarePercentage,Rent Roll_tenantparking,,
transactiontype,,tenant_profile,Unit Lease Summary_shpayorotherpercentage,Unit Lease_tenantprofile,,
type,,terminal_cap_rate,Unit Lease Summary_shpayorprivatepaypercentage,Sales_terminalcaprate,,
typeofcontamination,,tertiary_frontage_lf,Unit Lease Summary_shpayorvapercentage,Sites_tertiaryfrontagelf,,
typeoruseofspace,,tertiary_frontage_st,Unit Lease Summary_shsncommunityfee,Sites_tertiaryfrontagest,,
typicalbaydepth,,tertiary_traffic_count,Unit Lease Summary_shsnentryfee,Sites_tertiarytrafficcount,,
unit_mix_id,,tillable_acres,Unit Lease Summary_shsnoccupancypercentage,Sites_tillableacres,,
unitcount,,time_log_id,Unit Lease Summary_shsnsecondpersonfeemonthly,,,
unitdepth,,timestamp,Unit Lease Summary_shsnunitcount,,,
unitheight,,topography,Unit Lease Summary_storagefee,,,
unitsf,,tos_cap_rate,Unit Lease Summary_totalmarketrent,,,
unittype,,tos_effective_age,Unit Lease Summary_UtilitiesPaidByOwner,Sales_toseffectiveage,,
unitwidth,,tos_egim,Unit Lease Summary_vacancyrate,Sales_tosegim,,
usablearea,,tos_noi,Unit Lease_affordabilitystatus,Sales_tosnoi,,
use_mix_id,,tos_number_of_tenants,Unit Lease_annualrentpersf,,,
use_type,,tos_occupancy_rate,Unit Lease_baths,Sales_tosoccupancyrate,,
user_id,,tos_price_per_rsf,Unit Lease_bedrooms,Sales_tospriceperrsf,,
utilities,,tos_price_per_useable_acre_land,Unit Lease_beds,Sales_tospriceperuseableacreland,,
utilitiespaidbyowner,,tos_price_per_useable_sf_land,Unit Lease_category,Sales_tospriceperuseablesfland,,
utilityallowance,,tos_tenancy_type,Unit Lease_communityfeemax,Sales_tostenancytype,,
vacancyrate,,tos_vacancy_rate,Unit Lease_communityfeemin,Sales_tosvacancyrate,,
vacantunits,,tos_weighted_avg_lease_term,Unit Lease_contractrentmax,Sales_tosweightedaverageleaseterm,,
verificationdate,,tosweightedaverageleaseterm,Unit Lease_contractrentmin,,,
verificationphone,,total_assessment,Unit Lease_dailyrateperunit,Assessment_totalassessment,,
verificationsource,,total_market_rent,Unit Lease_dailyrateperunitmax,Unit Lease Summary_totalmarketrent,,
views,,total_taxes,Unit Lease_dailyrateperunitmin,,,
visibility,,townshiprange,Unit Lease_entryfeemax,Parcel_townshiprange,,
wasteacres,,traffic_count,Unit Lease_entryfeemin,Sites_trafficcount,,
waterfrontage,,traffic_survey_date,Unit Lease_floor,Sites_trafficsurveydate,,
westboundary,,transaction_type,Unit Lease_incometarget,Sales_transactiontype,,
wetlandacres,,type_of_contamination,Unit Lease_lastrentincrease,Sales_typeofcontamination,,
wetlandstype,,type_or_use_of_space,Unit Lease_leaseexpiration,Rent Roll_typeoruseofspace,,
withinfloodplainname,,unit_category,Unit Lease_leasestart,,,
woodlandacres,,unit_count,Unit Lease_lhtc,Unit Lease_unitcount,,
yearbuilt,,unit_depth_ft,Unit Lease_marketrentmax,Unit Lease_unitdepth,,
yearbuiltnumeric,,unit_floor,Unit Lease_marketrentmin,,,
zip,,unit_height_ft,Unit Lease_marketrentmo,Unit Lease_unitheight,,
zoneddensity,,unit_mix_id,Unit Lease_marketrentsf,,,
zoning,,unit_sf,Unit Lease_MaxGrossLIHTCRestrictedRent,,,
zoning_subrecords_comments,,unit_type,Unit Lease_monthlyordailyrent,Unit Lease_unittype,,
zoning_subrecords_district,,unit_width_ft,Unit Lease_occupancytype,Unit Lease_unitwidth,,
zoning_subrecords_maxbuildheight,,unitdepth,Unit Lease_rentincreasepercent,,,
zoning_subrecords_maxsitecoverage,,unitheight,Unit Lease_rentperm2,,,
zoning_subrecords_ordinancedocument,,unitwidth,Unit Lease_rentpermo,,,
zoning_subrecords_parkingrequirement,,updated_at,Unit Lease_rentpersfpermo,,,
zoning_subrecords_permitteduses,,updated_by_user_id,Unit Lease_rooms,,,
zoning_subrecords_sideyarddistance,,use_mix_id,Unit Lease_sfsizemax,,,
zoning_subrecords_summary,,use_type,Unit Lease_sfsizemin,,,
zoning_subrecords_type,,user_id,Unit Lease_sizem2,,,
zoning_subrecords_zoneddensity,,utilities,Unit Lease_tenantprofile,incExp_totalutilities,,
zoningcode,,utilities_paid_by_owner,Unit Lease_unitcount,Unit Lease Summary_UtilitiesPaidByOwner,,
zoningid,,utility_allowance,Unit Lease_unitdepth,Unit Lease_utilityallowance,,
,,vacancy_rate,Unit Lease_unitheight,Unit Lease Summary_vacancyrate,,
,,vacant_units,Unit Lease_unitsf,Unit Lease_vacantunits,,
,,verification_date,Unit Lease_unittype,Rent Roll_verificationdate,,
,,verification_phone,Unit Lease_unitwidth,Sales_verificationphone,,
,,verification_source,Unit Lease_utilityallowance,Rent Roll_verificationsource,,
,,views,Unit Lease_vacantunits,Sites_views,,
,,visibility,,,,
,,waste_acres,,,,
,,water_frontage,,Sites_waterfrontage,,
,,west_boundary,,Parcel_westboundary,,
,,wetland_acres,,Sites_wetlandacres,,
,,wetlands_type,,Sites_wetlandstype,,
,,within_flood_plain,,Sites_withinfloodplainname,,
,,withinfloodplainname,,,,
,,woodland_acres,,Sites_woodlandacres,,
,,year_built_numeric,,Improvement_yearbuiltnumeric,,
,,zip,,Parcel_zip,,
,,zoned_density,,,,
,,zoning,,,,
,,zoning_authority,,,,
,,zoning_code,,,,
,,zoning_designation,,,,
,,zoning_district,,,,
,,zoning_id,,,,
,,zoning_jurisdiction,,,,
,,zoning_notes,,,,
,,zoning_subrecords_comments,,,,
,,zoning_subrecords_district,,,,
,,zoning_subrecords_summary,,,,
,,zoning_subrecords_type,,,,
,,zoning_summary,,,,
,,zoning_type,,,,
,,,,Parcel_parcelverificationdata,,
,,,,Parcel_parcelcomments,,
,,,,Sales_pricepersf,,
,,,,Sales_priceperra,,
,,,,Sales_priceperlandsf,,
,,,,Sales_pricepergbameters,,
,,,,Sales_priceperrameters,,
,,,,Sales_landvaluepersf,,
,,,,Sales_improvementvalue,,
,,,,Sales_improvementvaluepersf,,
,,,,Sites_landsf,,
,,,,Sites_usableacres,,
,,,,Sites_usablelandsf,,
,,,,Sites_UnusableAcres,,
,,,,Sites_UnusableLandSF,,
,,,,Sites_excessacres,,
,,,,Sites_excesslandsf,,
,,,,Sites_SurplusAcres,,
,,,,Sites_SurplusLandSF,,
,,,,Sites_easementacres,,
,,,,Sites_easementlandsf,,
,,,,Sites_buildablesf,,
,,,,Sites_proposedsf,,
,,,,Improvement_noofbuildings,,
,,,,Improvement_noofmultifamilyunits,,
,,,,Improvement_gbamultifamily,,
,,,,Improvement_ramultifamily,,
,,,,Improvement_noofofficeunits,,
,,,,Improvement_gbaoffice,,
,,,,Improvement_raoffice,,
,,,,Improvement_percentoffice,,
,,,,Improvement_percentofficera,,
,,,,Improvement_noofretailunits,,
,,,,Improvement_gbaretail,,
,,,,Improvement_raretailgla,,
,,,,Improvement_percentretail,,
,,,,Improvement_noofindustrialunits,,
,,,,Improvement_gbaindustrial,,
,,,,Improvement_raindustrial,,
,,,,Improvement_noofotherunits,,
,,,,Improvement_gbaother,,
,,,,Improvement_raother,,
,,,,Improvement_gbatotal,,
,,,,Improvement_ratotal,,
,,,,Improvement_parkingratiogba,,
,,,,Improvement_parkingratiora,,
,,,,Improvement_improvmentcomments,,
,,,,Improvement_gbamultifamilymeters,,
,,,,Improvement_ramultifamilymeters,,
,,,,Improvement_gbaofficemeters,,
,,,,Improvement_raofficemeters,,
,,,,Improvement_gbaretailMeters,,
,,,,Improvement_raretailmeters,,
,,,,Improvement_gbaindustrialmeters,,
,,,,Improvement_raindustrialmeters,,
,,,,Improvement_gbaothermeters,,
,,,,Improvement_raothermeters,,
,,,,Improvement_gbatotalmeters,,
,,,,Rent Roll Summary_commrentpersfmin,,
,,,,Rent Roll Summary_commrentpersfmax,,
,,,,Rent Roll Summary_commsizemin,,
,,,,Rent Roll Summary_commsizemax,,
,,,,Rent Roll Summary_commverificationsource,,
,,,,Rent Roll Summary_nooftenants,,
,,,,Rent Roll Summary_sfleased,,
,,,,Rent Roll_tenant,,
,,,,Rent Roll_unitsf,,
,,,,Rent Roll_effectiverentsf,,
,,,,Rent Roll_baserentsf,,
,,,,Rent Roll_baserentsfmo,,
,,,,Rent Roll_commleasesurveydate,,
,,,,Rent Roll_datasource,,
,,,,Rent Roll_rentpersfpermo,,
,,,,Unit Lease Summary_ID,,
,,,,Unit Lease Summary_instancetype,,
,,,,Unit Lease_unitsf,,
,,,,Unit Lease_annualrentpersf,,
,,,,Unit Lease_rentpersfpermo,,
,,,,Unit Lease_sizem2,,
,,,,Unit Lease_rentperm2,,
,,,,Unit Lease_sfsizemin,,
,,,,Unit Lease_sfsizemax,,
,,,,Unit Lease Summary_mfrentpersfmin,,
,,,,Unit Lease Summary_mfrentpersfmax,,
,,,,Unit Lease Summary_mfsizesfmin,,
,,,,Unit Lease Summary_mfsizesfmax,,
,,,,Unit Lease Summary_shiloccupancypercentage,,
,,,,Unit Lease Summary_shilsecondpersonfeemonthly,,
,,,,incExp_name,,
,,,,incExp_surveydate,,
,,,,incExp_annualrent,,
,,,,incExp_baserentabatement,,
,,,,incExp_expensereimbursements,,
,,,,incExp_netparkingincome,,
,,,,incExp_percentagerent,,
,,,,incExp_otherincome,,
,,,,incExp_pgi,,
,,,,incExp_pgipersf,,
,,,,incExp_pgiperunit,,
,,,,incExp_vacancycost,,
,,,,incExp_vacancy,,
,,,,incExp_vacancycostpersf,,
,,,,incExp_vacancycostperunit,,
,,,,incExp_occupancy,,
,,,,incExp_egi,,
,,,,incExp_egipersf,,
,,,,incExp_egiperunit,,
,,,,incExp_taxexpense,,
,,,,incExp_insurance,,
,,,,incExp_onsitemanagementexp,,
,,,,incExp_management,,
,,,,incExp_advertisingandmarketing,,
,,,,incExp_electricexpense,,
,,,,incExp_waterexpense,,
,,,,incExp_sewerexpense,,
,,,,incExp_gasexpense,,
,,,,incExp_fuelexpense,,
,,,,incExp_trashexpense,,
,,,,incExp_buildingrepairs,,
,,,,incExp_otherrepairs,,
,,,,incExp_repairsandmaintenance,,
,,,,incExp_paintinganddecorating,,
,,,,incExp_generalandadministrative2,,
,,,,incExp_cleaning,,
,,,,incExp_managerleasingsalaries,,
,,,,incExp_maintenancesalaries,,
,,,,incExp_othersalaries,,
,,,,incExp_payrolltaxes,,
,,,,incExp_payrolltotal,,
,,,,incExp_groundsandsecurity,,
,,,,incExp_professionalservicesexp,,
,,,,incExp_generalandadministrative,,
,,,,incExp_nonrevenueunits,,
,,,,incExp_otherexpenses,,
,,,,incExp_reserves,,
,,,,incExp_deductreserves,,
,,,,incExp_expleasingcommissions,,
,,,,incExp_exptenantimprovements,,
,,,,incExp_GroundRentExp,,
,,,,incExp_totalexpenses,,
,,,,incExp_ExpensePerSF,,
,,,,incExp_ExpensePerUnit,,
,,,,incExp_expenseratio,,
,,,,incExp_noi,,
,,,,incExp_noipersf,,
,,,,incExp_noiperbed,,
,,,,incExp_noipergbam2,,
,,,,incExp_noiperrasf,,
,,,,incExp_noiperunit,,
,,,,incExp_noiperusablesf,,
,,,,Saleinfo_NIM,,
,,,,Assessment_improvementassessment,,
,,,,Assessment_taxyear,,
,,,,Assessment_taxratecode,,
,,,,Assessment_taxrateper,,
,,,,Assessment_taxes,,
,,,,Assessment_marketvalue,,
,,,,Assessment_taxespersfgba,,
,,,,Assessment_taxesperra,,
,,,,Assessment_taxesperunit,,
,,,,Assessment_taxesperlandsf,,
,,,,Assessment_taxesperacre,,
,,,,Assessment_taxesperlandunit,,
,,,,Assessment_taxespergbam2,,
,,,,Assessment_taxesperram2,,
,,,,Assessment_taxesperhectares,,
,,,,Assessment_taxesperlandm2,,
,,,,Assessment_assessmentcomments,,
,,,,Assessment_assessorwebsite,,
,,,,Assessment_historicalassessedvalue1,,
,,,,Assessment_historicalassessedvalue2,,
,,,,Assessment_historicalassessedvalue3,,
,,,,Assessment_historicalassessedvalue4,,
,,,,Assessment_historicalimprovvalue1,,
,,,,Assessment_historicalimprovvalue2,,
,,,,Assessment_historicalimprovvalue3,,
,,,,Assessment_historicalimprovvalue4,,
,,,,Assessment_historicallandvalue1,,
,,,,Assessment_historicallandvalue2,,
,,,,Assessment_historicallandvalue3,,
,,,,Assessment_historicallandvalue4,,
,,,,Assessment_historicaltaxes1,,
,,,,Assessment_historicaltaxes2,,
,,,,Assessment_historicaltaxes3,,
,,,,Assessment_historicaltaxes4,,
,,,,Assessment_historicalyear1,,
,,,,Assessment_historicalyear2,,
,,,,Assessment_historicalyear3,,
,,,,Assessment_historicalyear4,,
,,,,Assessment_historicalassessedvalue1,,
,,,,Assessment_historicalassessedvalue2,,
,,,,Assessment_historicalassessedvalue3,,
,,,,Assessment_historicalassessedvalue4,,
,,,,Assessment_historicalimprovvalue1,,
,,,,Assessment_historicalimprovvalue2,,
,,,,Assessment_historicalimprovvalue3,,
,,,,Assessment_historicalimprovvalue4,,
,,,,Assessment_historicallandvalue1,,
,,,,Assessment_historicallandvalue2,,
,,,,Assessment_historicallandvalue3,,
,,,,Assessment_historicallandvalue4,,
,,,,Assessment_historicaltaxes1,,
,,,,Assessment_historicaltaxes2,,
,,,,Assessment_historicaltaxes3,,
,,,,Assessment_historicaltaxes4,,
,,,,Assessment_historicalyear1,,
,,,,Assessment_historicalyear2,,
,,,,Assessment_historicalyear3,,
,,,,Assessment_historicalyear4,,
