Named Range,Sheet,Cell,Reference
N1Building7NumberOfTruckDoorLevelers,Improvements,$AH$156,Improvements!$AH$156
N1Building7OfficeBuildingClass,Improvements,$AH$61,Improvements!$AH$61
N1Building7ParkingAdequacy,Improvements,$AH$115,Improvements!$AH$115
N1Building7ParkingSpaces,Improvements,$AH$113,Improvements!$AH$113
N1Building7PercentOffice,Improvements,$AH$103,Improvements!$AH$103
N1Building7PlumbingCondition,Improvements,$AH$182,Improvements!$AH$182
N1Building7RA,Improvements,$AH$96,Improvements!$AH$96
N1Building7RAMeters,Improvements,$AH$99,Improvements!$AH$99
N1Building7RemainingUsefulLife,Improvements,$AH$78,Improvements!$AH$78
N1Building7Renovations,Improvements,$AH$73,Improvements!$AH$73
N1Building7ResidentialAncillaryBuildings,Improvements,$AH$204,Improvements!$AH$204
N1Building7ResidentialBathrooms,Improvements,$AH$200,Improvements!$AH$200
N1Building7ResidentialBedrooms,Improvements,$AH$199,Improvements!$AH$199
N1Building7ResidentialDesign,Improvements,$AH$197,Improvements!$AH$197
N1Building7ResidentialDockBoathouse,Improvements,$AH$205,Improvements!$AH$205
N1Building7ResidentialFireplaceWoodStove,Improvements,$AH$201,Improvements!$AH$201
N1Building7ResidentialGarage,Improvements,$AH$203,Improvements!$AH$203
N1Building7ResidentialOther,Improvements,$AH$207,Improvements!$AH$207
N1Building7ResidentialOtherAmenties,Improvements,$AH$206,Improvements!$AH$206
N1Building7ResidentialPorchDeck,Improvements,$AH$202,Improvements!$AH$202
N1Building7ResidentialRooms,Improvements,$AH$198,Improvements!$AH$198
N1Building7Restrooms,Improvements,$AH$172,Improvements!$AH$172
N1Building7RoofCover,Improvements,$AH$154,Improvements!$AH$154
N1Building7RoofType,Improvements,$AH$153,Improvements!$AH$153
N1Building7Security,Improvements,$AH$186,Improvements!$AH$186
N1Building7SourceForSFArea,Improvements,$AH$102,Improvements!$AH$102
N1Building7TotalEconomicLife,Improvements,$AH$77,Improvements!$AH$77
N1Building7TypicalBayDepth,Improvements,$AH$149,Improvements!$AH$149
N1Building7TypicalBayDepthMeters,Improvements,$AH$150,Improvements!$AH$150
N1Building7Windows,Improvements,$AH$152,Improvements!$AH$152
N1Building7YearBuilt,Improvements,$AH$72,Improvements!$AH$72
N1Building8AppealAppearance,Improvements,$AI$80,Improvements!$AI$80
N1Building8BasementSize,Improvements,$AI$142,Improvements!$AI$142
N1Building8BasementSizeMeters,Improvements,$AI$143,Improvements!$AI$143
N1Building8BasementUseandFinish,Improvements,$AI$145,Improvements!$AI$145
N1Building8BuildingEfficiencyRatio,Improvements,$AI$107,Improvements!$AI$107
N1Building8BuildingEfficiencyRatioMetric,Improvements,$AI$108,Improvements!$AI$108
N1Building8CeilingCover,Improvements,$AI$168,Improvements!$AI$168
N1Building8CeilingHeight,Improvements,$AI$169,Improvements!$AI$169
N1Building8CeilingHeightMeters,Improvements,$AI$170,Improvements!$AI$170
N1Building8ColumnSpacing,Improvements,$AI$147,Improvements!$AI$147
N1Building8ColumnSpacingMeters,Improvements,$AI$148,Improvements!$AI$148
N1Building8Comments,Improvements,$AI$189,Improvements!$AI$189
N1Building8Condition,Improvements,$AI$79,Improvements!$AI$79
N1Building8Construction,Improvements,$AI$69,Improvements!$AI$69
N1Building8ConstructionClass,Improvements,$AI$68,Improvements!$AI$68
N1Building8ConstructionQuality,Improvements,$AI$70,Improvements!$AI$70
N1Building8Cooling,Improvements,$AI$180,Improvements!$AI$180
N1Building8Description,Improvements,$AI$60,Improvements!$AI$60
N1Building8EffectiveAge,Improvements,$AI$76,Improvements!$AI$76
N1Building8Electrical,Improvements,$AI$181,Improvements!$AI$181
N1Building8ExteriorWalls,Improvements,$AI$151,Improvements!$AI$151
N1Building8FireSprinkler,Improvements,$AI$183,Improvements!$AI$183
N1Building8FloorCovering,Improvements,$AI$166,Improvements!$AI$166
N1Building8FloorPlanLayout,Improvements,$AI$165,Improvements!$AI$165
N1Building8Foundation,Improvements,$AI$141,Improvements!$AI$141
N1Building8Frame,Improvements,$AI$146,Improvements!$AI$146
N1Building8GBA,Improvements,$AI$90,Improvements!$AI$90
N1Building8GBAMeters,Improvements,$AI$98,Improvements!$AI$98
N1Building8GLA,Improvements,$AI$97,Improvements!$AI$97
N1Building8GLAMeters,Improvements,$AI$100,Improvements!$AI$100
N1Building8HBU,Site,$AJ$27,Site!$AJ$27
N1Building8HBUComment,Site,$AJ$28,Site!$AJ$28
N1Building8Heating,Improvements,$AI$179,Improvements!$AI$179
N1Building8ID,Improvements,$AI$59,Improvements!$AI$59
N1Building8InteriorLighting,Improvements,$AI$171,Improvements!$AI$171
N1Building8InteriorWalls,Improvements,$AI$167,Improvements!$AI$167
N1Building8LandToBuildingRatio,Improvements,$AI$109,Improvements!$AI$109
N1Building8No.ofBathrooms,Improvements,$AI$127,Improvements!$AI$127
N1Building8No.ofBedrooms,Improvements,$AI$126,Improvements!$AI$126
N1Building8No.ofBeds,Improvements,$AI$129,Improvements!$AI$129
N1Building8No.ofElevators,Improvements,$AI$184,Improvements!$AI$184
N1Building8No.ofEscalators,Improvements,$AI$185,Improvements!$AI$185
N1Building8No.ofRooms,Improvements,$AI$125,Improvements!$AI$125
N1Building8No.ofSeats,Improvements,$AI$130,Improvements!$AI$130
N1Building8No.ofStories,Improvements,$AI$84,Improvements!$AI$84
N1Building8No.ofTruckDoors,Improvements,$AI$155,Improvements!$AI$155
N1Building8No.ofUnits,Improvements,$AI$124,Improvements!$AI$124
N1Building8NumberofBasementSublevels,Improvements,$AI$144,Improvements!$AI$144
N1Building8NumberOfTruckDoorLevelers,Improvements,$AI$156,Improvements!$AI$156
N1Building8OfficeBuildingClass,Improvements,$AI$61,Improvements!$AI$61
N1Building8ParkingAdequacy,Improvements,$AI$115,Improvements!$AI$115
N1Building8ParkingSpaces,Improvements,$AI$113,Improvements!$AI$113
N1Building8PercentOffice,Improvements,$AI$103,Improvements!$AI$103
N1Building8PlumbingCondition,Improvements,$AI$182,Improvements!$AI$182
N1Building8RA,Improvements,$AI$96,Improvements!$AI$96
N1Building8RAMeters,Improvements,$AI$99,Improvements!$AI$99
N1Building8RemainingUsefulLife,Improvements,$AI$78,Improvements!$AI$78
N1Building8Renovations,Improvements,$AI$73,Improvements!$AI$73
N1Building8ResidentialAncillaryBuildings,Improvements,$AI$204,Improvements!$AI$204
N1Building8ResidentialBathrooms,Improvements,$AI$200,Improvements!$AI$200
N1Building8ResidentialBedrooms,Improvements,$AI$199,Improvements!$AI$199
N1Building8ResidentialDesign,Improvements,$AI$197,Improvements!$AI$197
N1Building8ResidentialDockBoathouse,Improvements,$AI$205,Improvements!$AI$205
N1Building8ResidentialFireplaceWoodStove,Improvements,$AI$201,Improvements!$AI$201
N1Building8ResidentialGarage,Improvements,$AI$203,Improvements!$AI$203
N1Building8ResidentialOther,Improvements,$AI$207,Improvements!$AI$207
N1Building8ResidentialOtherAmenties,Improvements,$AI$206,Improvements!$AI$206
N1Building8ResidentialPorchDeck,Improvements,$AI$202,Improvements!$AI$202
N1Building8ResidentialRooms,Improvements,$AI$198,Improvements!$AI$198
N1Building8Restrooms,Improvements,$AI$172,Improvements!$AI$172
N1Building8RoofCover,Improvements,$AI$154,Improvements!$AI$154
N1Building8RoofType,Improvements,$AI$153,Improvements!$AI$153
N1Building8Security,Improvements,$AI$186,Improvements!$AI$186
N1Building8SourceForSFArea,Improvements,$AI$102,Improvements!$AI$102
N1Building8TotalEconomicLife,Improvements,$AI$77,Improvements!$AI$77
N1Building8TypicalBayDepth,Improvements,$AI$149,Improvements!$AI$149
N1Building8TypicalBayDepthMeters,Improvements,$AI$150,Improvements!$AI$150
N1Building8Windows,Improvements,$AI$152,Improvements!$AI$152
N1Building8YearBuilt,Improvements,$AI$72,Improvements!$AI$72
N1Building9AppealAppearance,Improvements,$AJ$80,Improvements!$AJ$80
N1Building9BasementSize,Improvements,$AJ$142,Improvements!$AJ$142
N1Building9BasementSizeMeters,Improvements,$AJ$143,Improvements!$AJ$143
N1Building9BasementUseandFinish,Improvements,$AJ$145,Improvements!$AJ$145
N1Building9BuildingEfficiencyRatio,Improvements,$AJ$107,Improvements!$AJ$107
N1Building9BuildingEfficiencyRatioMetric,Improvements,$AJ$108,Improvements!$AJ$108
N1Building9CeilingCover,Improvements,$AJ$168,Improvements!$AJ$168
N1Building9CeilingHeight,Improvements,$AJ$169,Improvements!$AJ$169
N1Building9CeilingHeightMeters,Improvements,$AJ$170,Improvements!$AJ$170
N1Building9ColumnSpacing,Improvements,$AJ$147,Improvements!$AJ$147
N1Building9ColumnSpacingMeters,Improvements,$AJ$148,Improvements!$AJ$148
N1Building9Comments,Improvements,$AJ$189,Improvements!$AJ$189
N1Building9Condition,Improvements,$AJ$79,Improvements!$AJ$79
N1Building9Construction,Improvements,$AJ$69,Improvements!$AJ$69
N1Building9ConstructionClass,Improvements,$AJ$68,Improvements!$AJ$68
N1Building9ConstructionQuality,Improvements,$AJ$70,Improvements!$AJ$70
N1Building9Cooling,Improvements,$AJ$180,Improvements!$AJ$180
N1Building9Description,Improvements,$AJ$60,Improvements!$AJ$60
N1Building9EffectiveAge,Improvements,$AJ$76,Improvements!$AJ$76
N1Building9Electrical,Improvements,$AJ$181,Improvements!$AJ$181
N1Building9ExteriorWalls,Improvements,$AJ$151,Improvements!$AJ$151
N1Building9FireSprinkler,Improvements,$AJ$183,Improvements!$AJ$183
N1Building9FloorCovering,Improvements,$AJ$166,Improvements!$AJ$166
N1Building9FloorPlanLayout,Improvements,$AJ$165,Improvements!$AJ$165
N1Building9Foundation,Improvements,$AJ$141,Improvements!$AJ$141
N1Building9Frame,Improvements,$AJ$146,Improvements!$AJ$146
N1Building9GBA,Improvements,$AJ$90,Improvements!$AJ$90
N1Building9GBAMeters,Improvements,$AJ$98,Improvements!$AJ$98
N1Building9GLA,Improvements,$AJ$97,Improvements!$AJ$97
N1Building9GLAMeters,Improvements,$AJ$100,Improvements!$AJ$100
N1Building9HBU,Site,$AK$27,Site!$AK$27
N1Building9HBUComment,Site,$AK$28,Site!$AK$28
N1Building9Heating,Improvements,$AJ$179,Improvements!$AJ$179
N1Building9ID,Improvements,$AJ$59,Improvements!$AJ$59
N1Building9InteriorLighting,Improvements,$AJ$171,Improvements!$AJ$171
N1Building9InteriorWalls,Improvements,$AJ$167,Improvements!$AJ$167
N1Building9LandToBuildingRatio,Improvements,$AJ$109,Improvements!$AJ$109
N1Building9No.ofBathrooms,Improvements,$AJ$127,Improvements!$AJ$127
N1Building9No.ofBedrooms,Improvements,$AJ$126,Improvements!$AJ$126
N1Building9No.ofBeds,Improvements,$AJ$129,Improvements!$AJ$129
N1Building9No.ofElevators,Improvements,$AJ$184,Improvements!$AJ$184
N1Building9No.ofEscalators,Improvements,$AJ$185,Improvements!$AJ$185
N1Building9No.ofRooms,Improvements,$AJ$125,Improvements!$AJ$125
N1Building9No.ofSeats,Improvements,$AJ$130,Improvements!$AJ$130
N1Building9No.ofStories,Improvements,$AJ$84,Improvements!$AJ$84
N1Building9No.ofTruckDoors,Improvements,$AJ$155,Improvements!$AJ$155
N1Building9No.ofUnits,Improvements,$AJ$124,Improvements!$AJ$124
N1Building9NumberofBasementSublevels,Improvements,$AJ$144,Improvements!$AJ$144
N1Building9NumberOfTruckDoorLevelers,Improvements,$AJ$156,Improvements!$AJ$156
N1Building9OfficeBuildingClass,Improvements,$AJ$61,Improvements!$AJ$61
N1Building9ParkingAdequacy,Improvements,$AJ$115,Improvements!$AJ$115
N1Building9ParkingSpaces,Improvements,$AJ$113,Improvements!$AJ$113
N1Building9PercentOffice,Improvements,$AJ$103,Improvements!$AJ$103
N1Building9PlumbingCondition,Improvements,$AJ$182,Improvements!$AJ$182
N1Building9RA,Improvements,$AJ$96,Improvements!$AJ$96
N1Building9RAMeters,Improvements,$AJ$99,Improvements!$AJ$99
N1Building9RemainingUsefulLife,Improvements,$AJ$78,Improvements!$AJ$78
N1Building9Renovations,Improvements,$AJ$73,Improvements!$AJ$73
N1Building9ResidentialAncillaryBuildings,Improvements,$AJ$204,Improvements!$AJ$204
N1Building9ResidentialBathrooms,Improvements,$AJ$200,Improvements!$AJ$200
N1Building9ResidentialBedrooms,Improvements,$AJ$199,Improvements!$AJ$199
N1Building9ResidentialDesign,Improvements,$AJ$197,Improvements!$AJ$197
N1Building9ResidentialDockBoathouse,Improvements,$AJ$205,Improvements!$AJ$205
N1Building9ResidentialFireplaceWoodStove,Improvements,$AJ$201,Improvements!$AJ$201
N1Building9ResidentialGarage,Improvements,$AJ$203,Improvements!$AJ$203
N1Building9ResidentialOther,Improvements,$AJ$207,Improvements!$AJ$207
N1Building9ResidentialOtherAmenties,Improvements,$AJ$206,Improvements!$AJ$206
N1Building9ResidentialPorchDeck,Improvements,$AJ$202,Improvements!$AJ$202
N1Building9ResidentialRooms,Improvements,$AJ$198,Improvements!$AJ$198
N1Building9Restrooms,Improvements,$AJ$172,Improvements!$AJ$172
N1Building9RoofCover,Improvements,$AJ$154,Improvements!$AJ$154
N1Building9RoofType,Improvements,$AJ$153,Improvements!$AJ$153
N1Building9Security,Improvements,$AJ$186,Improvements!$AJ$186
N1Building9SourceForSFArea,Improvements,$AJ$102,Improvements!$AJ$102
N1Building9TotalEconomicLife,Improvements,$AJ$77,Improvements!$AJ$77
N1Building9TypicalBayDepth,Improvements,$AJ$149,Improvements!$AJ$149
N1Building9TypicalBayDepthMeters,Improvements,$AJ$150,Improvements!$AJ$150
N1Building9Windows,Improvements,$AJ$152,Improvements!$AJ$152
N1Building9YearBuilt,Improvements,$AJ$72,Improvements!$AJ$72
N1BuildingRepairsExpense,Expense Grid,$BS$398:$BY$420,'Expense Grid'!$BS$398:$BY$420
N1BuildingsCapsuleDescription,Improvements,$AB$20,Improvements!$AB$20
N1BuildingsDeferredMaintenance,Improvements,$AB$45,Improvements!$AB$45
N1BuildingsEffectiveAgeRange,Improvements,$AB$30,Improvements!$AB$30
N1BuildingsEfficiencyRatio,Improvements,$AA$107,Improvements!$AA$107
N1BuildingsEfficiencyRatioMetric,Improvements,$AA$108,Improvements!$AA$108
N1BuildingsFAR,Improvements,$AB$34,Improvements!$AB$34
N1BuildingsFARMetric,Improvements,$AB$35,Improvements!$AB$35
N1BuildingsFFandE,Improvements,$AB$48,Improvements!$AB$48
N1BuildingsFFandEEstimatedValue,Improvements,$AB$49,Improvements!$AB$49
N1BuildingsLandtoBuildingRatio,Improvements,$AB$32,Improvements!$AB$32
N1BuildingsLandtoBuildingRatioMetric,Improvements,$AB$33,Improvements!$AB$33
N1BuildingsOverallDesignAndFunctionalUtility,Improvements,$AB$46,Improvements!$AB$46
N1BuildingsOverallPropertyDescriptionComments,Improvements,$AB$50,Improvements!$AB$50
N1BuildingsParkingLotCondition,Improvements,$AB$39,Improvements!$AB$39
N1BuildingsParkingRatio,Improvements,$AB$41,Improvements!$AB$41
N1BuildingsParkingRatioMetric,Improvements,$AB$42,Improvements!$AB$42
N1BuildingsParkingRatioType,Improvements,$AB$40,Improvements!$AB$40
N1BuildingsParkingSpaces,Improvements,$AB$37,Improvements!$AB$37
N1BuildingsParkingType,Improvements,$AB$36,Improvements!$AB$36
N1BuildingsPlannedCapitalImprovements,Improvements,$AB$47,Improvements!$AB$47
N1BuildingsPredominantCondition,Improvements,$AB$31,Improvements!$AB$31
N1BuildingsPredominantConstruction,Improvements,$AB$26,Improvements!$AB$26
N1BuildingsPredominantConstructionQuality,Improvements,$AB$27,Improvements!$AB$27
N1BuildingsPredominantOfficeClass,Improvements,$AB$25,Improvements!$AB$25
N1BuildingsTotalBasementSize,Improvements,$AA$142,Improvements!$AA$142
N1BuildingsTotalGBA,Improvements,$AA$90,Improvements!$AA$90
N1BuildingsTotalGBAMeters,Improvements,$AA$98,Improvements!$AA$98
N1BuildingsTotalGLA,Improvements,$AA$97,Improvements!$AA$97
N1BuildingsTotalGLAMeters,Improvements,$AA$100,Improvements!$AA$100
N1BuildingsTotalNo.ofBathrooms,Improvements,$AA$127,Improvements!$AA$127
N1BuildingsTotalNo.ofBays,Improvements,$AA$131,Improvements!$AA$131
N1BuildingsTotalNo.ofBedRooms,Improvements,$AA$126,Improvements!$AA$126
N1BuildingsTotalNo.ofBeds,Improvements,$AA$129,Improvements!$AA$129
N1BuildingsTotalNo.ofBuildings,Improvements,$AB$24,Improvements!$AB$24
N1BuildingsTotalNo.ofEscalators,Improvements,$AA$185,Improvements!$AA$185
N1BuildingsTotalNo.ofGolfHoles,Improvements,$AA$132,Improvements!$AA$132
N1BuildingsTotalNo.ofHalfBaths,Improvements,$AA$128,Improvements!$AA$128
N1BuildingsTotalNo.ofRooms,Improvements,$AA$125,Improvements!$AA$125
N1BuildingsTotalNo.ofSeats,Improvements,$AA$130,Improvements!$AA$130
N1BuildingsTotalNo.ofStories,Improvements,$AA$84,Improvements!$AA$84
N1BuildingsTotalNo.ofTruckDoors,Improvements,$AA$155,Improvements!$AA$155
N1BuildingsTotalNo.ofUnits,Improvements,$AA$124,Improvements!$AA$124
N1BuildingsTotalNumberOfTruckDoorLevelers,Improvements,$AA$156,Improvements!$AA$156
N1BuildingsTotalParkingSpaces,Improvements,$AA$113,Improvements!$AA$113
N1BuildingsTotalPercentOffice,Improvements,$AA$103,Improvements!$AA$103
N1BuildingsTotalRA,Improvements,$AA$96,Improvements!$AA$96
N1BuildingsTotalRAMeters,Improvements,$AA$99,Improvements!$AA$99
N1BuildingsTotalsNo.ofElevators,Improvements,$AA$184,Improvements!$AA$184
N1BuildingSummaryTable,Improvements,$CE$442:$CS$455,Improvements!$CE$442:$CS$455
N1BuildingsYearBuilt,Improvements,$AA$72,Improvements!$AA$72
N1BuildingsYearBuiltRange,Improvements,$AB$28,Improvements!$AB$28
N1BuildingsYearRenovatedRange,Improvements,$AB$29,Improvements!$AB$29
N1CalculatedNetPresentValue,CashFlow-Returns,$F$46,'CashFlow-Returns'!$F$46
N1CAMExpense,Expense Grid,$BS$476:$BY$498,'Expense Grid'!$BS$476:$BY$498
N1CapRate,Capitalization and Multipliers,$J$112,'Capitalization and Multipliers'!$J$112
N1CapRateAverage,Capitalization and Multipliers,$N$168,'Capitalization and Multipliers'!$N$168
N1CapRateHigh,Capitalization and Multipliers,$N$169,'Capitalization and Multipliers'!$N$169
N1CapRateLow,Capitalization and Multipliers,$N$167,'Capitalization and Multipliers'!$N$167
N1CapsuleDescription,Improvements,$AB$20,Improvements!$AB$20
N1CashFlowProfile,Capitalization and Multipliers,$F$268:$K$290,'Capitalization and Multipliers'!$F$268:$K$290
N1CBSA,File Info,$I$130,'File Info'!$I$130
N1CensusTract,File Info,$I$124,'File Info'!$I$124
N1cht_JobSettings,Settings,$F$5:$J$109,Settings!$F$5:$J$109
N1City,File Info,$I$112,'File Info'!$I$112
N1CleaningAndJanitorialExpense,Expense Grid,$BS$528:$BY$550,'Expense Grid'!$BS$528:$BY$550
N1Client2Address,File Info,$I$212,'File Info'!$I$212
N1Client2Address2,File Info,$I$214,'File Info'!$I$214
N1Client2City,File Info,$I$216,'File Info'!$I$216
N1Client2CompanyName,File Info,$I$196,'File Info'!$I$196
N1Client2Country,File Info,$I$222,'File Info'!$I$222
N1Client2Designation,File Info,$I$206,'File Info'!$I$206
N1Client2DisplayName,File Info,$I$208,'File Info'!$I$208
N1Client2Email,File Info,$I$230,'File Info'!$I$230
N1Client2Fax,File Info,$I$228,'File Info'!$I$228
N1Client2FileNum,File Info,$I$194,'File Info'!$I$194
N1Client2FirstName,File Info,$I$200,'File Info'!$I$200
N1Client2LastName,File Info,$I$204,'File Info'!$I$204
N1Client2MiddleName,File Info,$I$202,'File Info'!$I$202
N1Client2PhoneNumber,File Info,$I$224,'File Info'!$I$224
N1Client2PhoneNumber2,File Info,$I$226,'File Info'!$I$226
N1Client2Salutation,File Info,$I$198,'File Info'!$I$198
N1Client2State,File Info,$I$218,'File Info'!$I$218
N1Client2Title,File Info,$I$210,'File Info'!$I$210
N1Client2WebSite,File Info,$I$232,'File Info'!$I$232
N1Client2Zip,File Info,$I$220,'File Info'!$I$220
N1ClientAddress,File Info,$I$162,'File Info'!$I$162
N1ClientAddress2,File Info,$I$164,'File Info'!$I$164
N1ClientCity,File Info,$I$166,'File Info'!$I$166
N1ClientCompanyName,File Info,$I$144,'File Info'!$I$144
N1ClientCountry,File Info,$I$172,'File Info'!$I$172
N1ClientDesignation,File Info,$I$156,'File Info'!$I$156
N1ClientDisplayName,File Info,$I$158,'File Info'!$I$158
N1ClientEmail,File Info,$I$180,'File Info'!$I$180
N1ClientFax,File Info,$I$178,'File Info'!$I$178
N1ClientFileNum,File Info,$I$142,'File Info'!$I$142
N1ClientFirstName,File Info,$I$148,'File Info'!$I$148
N1ClientLastName,File Info,$I$152,'File Info'!$I$152
N1ClientMiddleName,File Info,$I$150,'File Info'!$I$150
N1ClientPhoneNumber,File Info,$I$174,'File Info'!$I$174
N1ClientPhoneNumber2,File Info,$I$176,'File Info'!$I$176
N1ClientSalutation,File Info,$I$146,'File Info'!$I$146
N1ClientState,File Info,$I$168,'File Info'!$I$168
N1ClientTitle,File Info,$I$160,'File Info'!$I$160
N1ClientWebSite,File Info,$I$182,'File Info'!$I$182
N1ClientZip,File Info,$I$170,'File Info'!$I$170
N1CommLeaseExpirationsChart,Rent Roll,$GO$663:$GS$678,'Rent Roll'!$GO$663:$GS$678
N1CommLeaseGridAnalysisDate,Lease Grid,$G$33,'Lease Grid'!$G$33
N1Comp1,Sales Grid,$FW$663:$FZ$762,'Sales Grid'!$FW$663:$FZ$762
N1Comp10,Sales Grid,$FW$1608:$FZ$1707,'Sales Grid'!$FW$1608:$FZ$1707
N1Comp10Land,Land Grid,$CQ$1023:$CT$1073,'Land Grid'!$CQ$1023:$CT$1073
N1Comp10Lease,Lease Grid,$FD$2247:$FM$2368,'Lease Grid'!$FD$2247:$FM$2368
N1Comp1Land,Land Grid,$CQ$519:$CT$569,'Land Grid'!$CQ$519:$CT$569
N1Comp1Lease,Lease Grid,$FD$1104:$FM$1225,'Lease Grid'!$FD$1104:$FM$1225
N1Comp2,Sales Grid,$FW$768:$FZ$867,'Sales Grid'!$FW$768:$FZ$867
N1Comp2Land,Land Grid,$CQ$575:$CT$625,'Land Grid'!$CQ$575:$CT$625
N1Comp2Lease,Lease Grid,$FD$1231:$FM$1352,'Lease Grid'!$FD$1231:$FM$1352
N1Comp3,Sales Grid,$FW$873:$FZ$972,'Sales Grid'!$FW$873:$FZ$972
N1Comp3Land,Land Grid,$CQ$631:$CT$681,'Land Grid'!$CQ$631:$CT$681
N1Comp3Lease,Lease Grid,$FD$1358:$FM$1479,'Lease Grid'!$FD$1358:$FM$1479
N1Comp4,Sales Grid,$FW$978:$FZ$1077,'Sales Grid'!$FW$978:$FZ$1077
N1Comp4Land,Land Grid,$CQ$687:$CT$737,'Land Grid'!$CQ$687:$CT$737
N1Comp4Lease,Lease Grid,$FD$1485:$FM$1606,'Lease Grid'!$FD$1485:$FM$1606
N1Comp5,Sales Grid,$FW$1083:$FZ$1182,'Sales Grid'!$FW$1083:$FZ$1182
N1Comp5Land,Land Grid,$CQ$743:$CT$793,'Land Grid'!$CQ$743:$CT$793
N1Comp5Lease,Lease Grid,$FD$1612:$FM$1733,'Lease Grid'!$FD$1612:$FM$1733
N1Comp6,Sales Grid,$FW$1188:$FZ$1287,'Sales Grid'!$FW$1188:$FZ$1287
N1Comp6Land,Land Grid,$CQ$799:$CT$849,'Land Grid'!$CQ$799:$CT$849
N1Comp6Lease,Lease Grid,$FD$1739:$FM$1860,'Lease Grid'!$FD$1739:$FM$1860
N1Comp7,Sales Grid,$FW$1293:$FZ$1392,'Sales Grid'!$FW$1293:$FZ$1392
N1Comp7Land,Land Grid,$CQ$855:$CT$905,'Land Grid'!$CQ$855:$CT$905
N1Comp7Lease,Lease Grid,$FD$1866:$FM$1987,'Lease Grid'!$FD$1866:$FM$1987
N1Comp8,Sales Grid,$FW$1398:$FZ$1497,'Sales Grid'!$FW$1398:$FZ$1497
N1Comp8Land,Land Grid,$CQ$911:$CT$961,'Land Grid'!$CQ$911:$CT$961
N1Comp8Lease,Lease Grid,$FD$1993:$FM$2114,'Lease Grid'!$FD$1993:$FM$2114
N1Comp9,Sales Grid,$FW$1503:$FZ$1602,'Sales Grid'!$FW$1503:$FZ$1602
N1Comp9Land,Land Grid,$CQ$967:$CT$1017,'Land Grid'!$CQ$967:$CT$1017
N1Comp9Lease,Lease Grid,$FD$2120:$FM$2241,'Lease Grid'!$FD$2120:$FM$2241
N1ComparisonAmenityTable,Lease Grid,$EF$987:$ER$1075,'Lease Grid'!$EF$987:$ER$1075
N1CompCapRates,Capitalization and Multipliers,$F$154:$N$169,'Capitalization and Multipliers'!$F$154:$N$169
N1CompSummaryTable,Sales Grid,$CC$464:$CR$497,'Sales Grid'!$CC$464:$CR$497
N1ConcludedCapRateValue,Capitalization and Multipliers,$I$212,'Capitalization and Multipliers'!$I$212
N1ContactAddress,File Info,$I$254,'File Info'!$I$254
N1ContactAddress2,File Info,$I$256,'File Info'!$I$256
N1ContactCity,File Info,$I$258,'File Info'!$I$258
N1ContactEmail,File Info,$I$268,'File Info'!$I$268
N1ContactMiddleName,File Info,$I$248,'File Info'!$I$248
N1ContactPhone,File Info,$I$264,'File Info'!$I$264
N1ContactPhone2,File Info,$I$266,'File Info'!$I$266
N1ContactPropertyRights,"Contracts, History",$K$21,"'Contracts, History'!$K$21"
N1ContactState,File Info,$I$260,'File Info'!$I$260
N1ContactZipCode,File Info,$I$262,'File Info'!$I$262
N1ContractBookPage,"Contracts, History",$K$18,"'Contracts, History'!$K$18"
N1ContractComment,"Contracts, History",$K$28,"'Contracts, History'!$K$28"
N1ContractCondOfSale,"Contracts, History",$K$23,"'Contracts, History'!$K$23"
N1ContractDate,"Contracts, History",$K$16,"'Contracts, History'!$K$16"
N1ContractDOM,"Contracts, History",$K$17,"'Contracts, History'!$K$17"
N1ContractFinancing,"Contracts, History",$K$22,"'Contracts, History'!$K$22"
N1ContractGrantee,"Contracts, History",$K$20,"'Contracts, History'!$K$20"
N1ContractGrantor,"Contracts, History",$K$19,"'Contracts, History'!$K$19"
N1ContractPrice,"Contracts, History",$K$15,"'Contracts, History'!$K$15"
N1ContractTotal,File Info,$I$40,'File Info'!$I$40
N1ContractVerificationSource,"Contracts, History",$K$25,"'Contracts, History'!$K$25"
N1Cost1,Cost,$E$10:$J$73,Cost!$E$10:$J$73
N1Cost1ArchitecturalPercent,Cost,$G$41,Cost!$G$41
N1Cost1ArchitecturalPercentType,Cost,$I$42,Cost!$I$42
N1Cost1Depreciation,Cost,$E$53:$J$60,Cost!$E$53:$J$60
N1Cost1DevelopersProfit,Cost,$I$49,Cost!$I$49
N1Cost1EngineeringPercent,Cost,$G$39,Cost!$G$39
N1Cost1EngineeringPercentType,Cost,$I$40,Cost!$I$40
N1Cost1InsurableValue,Cost,$J$46,Cost!$J$46
N1Cost1Leasing,Cost,$J$44,Cost!$J$44
N1Cost1PermitsAndLegal,Cost,$J$43,Cost!$J$43
N1Cost1Source,Cost,$F$11,Cost!$F$11
N1Cost2,Cost,$E$78:$J$132,Cost!$E$78:$J$132
N1Cost2ArchitecturalPercent,Cost,$G$111,Cost!$G$111
N1Cost2ArchitecturalPercentType,Cost,$I$112,Cost!$I$112
N1Cost2Depreciation,Cost,$E$124:$J$131,Cost!$E$124:$J$131
N1Cost2DevelopersProfit,Cost,$I$120,Cost!$I$120
N1Cost2EngineeringPercent,Cost,$G$109,Cost!$G$109
N1Cost2EngineeringPercentType,Cost,$I$110,Cost!$I$110
N1Cost2InsurableValue,Cost,$J$116,Cost!$J$116
N1Cost2Leasing,Cost,$J$114,Cost!$J$114
